stock_id,entry_date,exit_date,entry_price,exit_price,exit_reason,hold_days,pnl_pct
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-13,121.0,265.0,PROFIT_TARGET,2,119.01
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-13,121.0,265.0,PROFIT_TARGET,2,119.01
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-17,121.0,286.0,PROFIT_TARGET,6,136.36
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
6213,2025-07-24,2025-07-28,91.1,104.0,PROFIT_TARGET,4,14.16
2382,2025-07-31,2025-08-20,281.5,259.5,STOP_LOSS,20,-7.82
2454,2025-09-08,2025-09-09,1430.0,1510.0,PROFIT_TARGET,1,5.59
2454,2025-11-05,2025-11-18,1330.0,1170.0,STOP_LOSS,13,-12.03
2303,2025-11-05,2025-11-25,47.1,45.1,TIME_STOP,20,-4.25
6213,2026-02-11,2026-02-24,121.0,133.5,PROFIT_TARGET,13,10.33
3034,2026-03-27,2026-04-16,399.0,412.0,TIME_STOP,20,3.26
2382,2025-05-29,2025-06-12,271.5,286.5,TREND_EXHAUSTION,14,5.52
2454,2025-06-10,2025-06-30,1335.0,1250.0,TIME_STOP,20,-6.37
6213,2025-07-24,2025-07-28,91.1,104.0,PROFIT_TARGET,4,14.16
