date,stock_id,name,decision,confidence,C_days,B_days,A_days,flow_status,cost_level,signal_type,adx,atr,vwap,kd_k,kd_d,bb_upper,bb_middle,bb_lower,B_quality,B_window_20,B_validity,B_phase,foreign_position,foreign_level,volume_ratio,foreign_cost,foreign_profit_pct,foreign_consecutive_buy,margin_change_5d,return_10d,bias_ma20,margin_consecutive_increase,margin_change_pct
2026-08-27,6117,迎廣,IGNORE,0,,,,,SAFE,,14.68,2.4235,76.0114,45.72,29.05,67.7105,63.705,59.6995,0,0,UNCERTAIN,PREPARE,1068.0,LIGHT,0.7712308127328187,62.5,0.0,,,-4.287901990811638,-0.018915312769798298,,
2026-08-27,6223,旺矽,IGNORE,0,17.0,,,NEUTRAL,SAFE,,40.18,457.12,5463.0714,3.48,3.7,5721.127,5197.25,4673.373,0,0,UNCERTAIN,PREPARE,27960.0,MEDIUM,1.1360768892258384,5090.0,0.0,,100.0,0.0,-0.02063591322333924,,
2026-08-27,6213,聯茂,IGNORE,0,,,,,HIGH_RISK,,24.42,39.9046,360.4942,87.13,88.91,623.6835,444.7,265.7165,0,0,UNCERTAIN,PREPARE,53545.0,HEAVY,2.025322841391783,408.09,37.96,,,20.04264392324093,0.266022037328536,,
2026-08-27,6214,精誠,IGNORE,0,,,,,HIGH_RISK,,26.18,5.7769,154.0897,97.65,94.64,195.5033,163.5,131.4967,0,0,UNCERTAIN,PREPARE,43375.0,MEDIUM,0.6125741029190068,149.78,21.84,,,16.61341853035143,0.11620795107033643,,
2026-08-27,6166,凌華,IGNORE,0,,,,,NEUTRAL,,11.45,8.818,137.7574,11.12,11.67,147.7035,127.8,107.8965,0,0,FAKE_B,PREPARE,,NONE,0.381200983077805,134.71,-13.15,,,-14.598540145985407,-0.08450704225352113,,
2026-08-27,6163,華電網,WAIT,5,8.0,13.0,0.0,NEUTRAL,SAFE,,24.39,1.6655,48.9124,96.1,95.83,45.8016,42.9075,40.0134,40,14,FAKE_B,BUILD,12054.0,MEDIUM,0.9558303942413688,43.31,0.44,,-163.0,0.0,0.013808774689739511,,
2026-08-27,6188,廣明,WAIT,0,7.0,11.0,0.0,NEUTRAL,SAFE,,45.69,2.0827,77.3321,0.01,0.01,69.8531,69.56,69.2669,33,11,UNCERTAIN,PREPARE,,NONE,0.9285036696661544,69.65,-0.22,,-20.0,0.0,-0.0008625646923519081,,
2026-08-27,6191,精成科,IGNORE,0,,,,,SAFE,,11.65,3.8701,98.0505,24.41,22.19,88.0657,83.905,79.7443,0,0,UNCERTAIN,PREPARE,20390.0,MEDIUM,0.6175619092646252,84.9,-2.12,,,-4.262672811059909,-0.009594183898456676,,
2026-08-27,6147,頎邦,WAIT,10,8.0,1.0,,NEUTRAL,SAFE,,18.03,14.961,194.5723,96.11,95.84,217.8001,179.7,141.5999,0,1,UNCERTAIN,PREPARE,259768.0,HEAVY,1.0670016654328947,181.52,3.29,,3425.0,0.0,0.04340567612687818,,
2026-08-27,6285,啟碁,IGNORE,0,,,,,SAFE,,10.57,14.2666,264.003,56.7,35.67,261.5163,242.225,222.9337,0,0,UNCERTAIN,PREPARE,116226.0,HEAVY,1.4416756887073507,233.41,4.96,,,-0.6085192697768749,0.011456290638868882,,
