stock_id,theme
1216,Other
2449,Other
3714,AI_Core
3715,Other
3717,Auto_Elec
3711,Other
3701,Other
3702,Digital_Cloud
3703,Other
3704,Comm_Net
3706,Other
3673,Other
4526,AI_Power
4532,AI_Power
4537,AI_Core
4540,AI_Power
4169,Biotech_Green
3532,AI_Core
3533,Other
3535,AI_Core
3437,AI_Core
3443,AI_Core
3545,AI_Core
3481,AI_Core
3605,PCB_Material
3645,Other
3653,Other
3661,AI_Core
3665,Digital_Cloud
3596,Other
3563,AI_Core
3576,AI_Core
3583,AI_Core
3591,AI_Core
3585,PCB_Material
3413,Other
5284,Other
5297,AI_Core
5388,Comm_Net
5244,Other
4989,Other
5234,AI_Core
5243,AI_Core
5434,Other
5469,Other
5871,Other
4977,Other
4739,Biotech_Green
4763,Biotech_Green
4764,Biotech_Green
4722,Biotech_Green
4573,AI_Power
4576,AI_Power
4949,AI_Core
4956,AI_Core
4958,Other
4960,AI_Core
4961,AI_Core
4967,AI_Core
4968,AI_Core
4938,Digital_Cloud
4904,Comm_Net
4906,Comm_Net
4915,Other
4916,Other
4919,Other
4927,Other
2618,Other
2633,Other
2634,Other
2637,Other
2646,Other
2615,Other
2542,Other
2543,Other
2548,Other
2605,Other
2606,Other
2609,Other
2603,Other
2536,Other
2535,Other
2465,Other
2466,AI_Core
2467,Other
2472,Other
2474,Digital_Cloud
2476,Other
2464,Other
2451,AI_Core
2455,Comm_Net
2478,Other
2457,PCB_Material
2458,AI_Core
2498,Comm_Net
2501,Other
2504,Other
2520,Other
2493,Other
2481,AI_Core
2484,Other
2485,Comm_Net
2486,Other
2489,AI_Core
2492,Other
3059,AI_Core
3060,Other
3062,Comm_Net
3090,Other
3135,AI_Core
3044,Other
3045,Comm_Net
3048,Digital_Cloud
3042,PCB_Material
3138,Comm_Net
3149,AI_Core
3305,Other
3312,Other
3376,Other
3380,Comm_Net
3167,AI_Power
3184,Biotech_Green
3189,Other
3209,Other
3231,Other
3005,Other
3006,AI_Core
3010,Other
3013,Other
2903,Other
2912,Other
2915,Other
3036,Other
3029,Other
3030,Digital_Cloud
3031,AI_Core
3033,Other
3034,AI_Core
3035,AI_Core
3037,Other
3028,Digital_Cloud
3017,Other
3019,AI_Core
3023,Other
3025,Comm_Net
3026,Other
