date,stock_id,name,decision,confidence,C_days,B_days,A_days,flow_status,cost_level,signal_type,adx,atr,vwap,kd_k,kd_d,bb_upper,bb_middle,bb_lower,B_quality,B_window_20,B_validity,B_phase,foreign_position,foreign_level,volume_ratio,foreign_cost,foreign_profit_pct,foreign_consecutive_buy,margin_change_5d,return_10d,bias_ma20,margin_consecutive_increase,margin_change_pct
2026-07-06,6206,飛捷,WAIT,0,6.0,1.0,,,SAFE,,13.56,5.3428,128.8201,69.69,46.3,137.4823,130.9,124.3177,0,1,UNCERTAIN,PREPARE,23358.0,MEDIUM,0.6346946683492378,133.11,0.29,,,-0.743494423791824,0.019862490450725634,,
2026-07-06,6207,雷科,IGNORE,0,,,,NEUTRAL,SAFE,,58.8,12.8672,130.8435,49.28,50.08,170.0573,142.325,114.5927,0,0,UNCERTAIN,PREPARE,5233.0,LIGHT,0.4082387853297156,156.61,-7.09,,227.0,-11.280487804878048,0.02230809766379771,,
2026-07-06,6202,盛群,IGNORE,0,5.0,0.0,,,HIGH_RISK,,28.93,5.0547,61.7248,52.77,47.04,77.6363,63.845,50.0537,1,2,UNCERTAIN,PREPARE,31974.0,MEDIUM,1.0901338854386193,63.8,8.3,,,-6.241519674355511,0.08230871642258575,,
2026-07-06,6197,佳必琪,IGNORE,0,,,,,NEUTRAL,,33.36,19.3169,262.9117,77.09,67.91,381.848,346.2,310.552,0,0,UNCERTAIN,PREPARE,8115.0,LIGHT,0.5428560841411367,366.08,1.75,,,5.524079320113318,0.07596764875794348,,
2026-07-06,6125,廣運,IGNORE,0,,,,NEUTRAL,SAFE,,26.57,3.2304,65.8146,40.79,24.18,66.7113,60.74,54.7687,0,0,UNCERTAIN,PREPARE,26272.0,MEDIUM,0.7405712374229737,64.22,-6.42,,-2.0,-0.9884678747940745,-0.0105367138623641,,
2026-07-06,6117,迎廣,IGNORE,0,7.0,,,,SAFE,,18.46,2.618,84.2616,46.38,30.96,79.7519,75.355,70.9581,0,0,UNCERTAIN,PREPARE,1522.0,LIGHT,0.41561098068385205,73.73,0.1,,,-4.404145077720212,-0.020635657886006187,,
2026-07-06,6196,帆宣,IGNORE,0,,,,,SAFE,,28.09,31.6329,437.0376,77.74,70.36,601.8862,545.875,489.8638,0,0,UNCERTAIN,PREPARE,37110.0,MEDIUM,0.7498035998816404,512.78,11.16,,,1.4234875444839812,0.04419509961071677,,
2026-07-06,6209,今國光,IGNORE,0,,,,,NEUTRAL,,28.82,5.6841,81.3069,13.01,17.96,98.8347,85.66,72.4853,0,0,UNCERTAIN,PREPARE,5990.0,LIGHT,0.22358936896183756,80.0,1.37,,,-16.563786008230462,-0.053233714685967826,,
2026-07-06,6223,旺矽,IGNORE,0,,,,NEUTRAL,HIGH_RISK,,20.31,540.1444,6146.9254,84.51,68.58,7029.4696,6273.0,5516.5304,0,0,UNCERTAIN,PREPARE,28795.0,MEDIUM,0.5974934936543513,6468.13,5.98,,20.0,6.775700934579443,0.09277857484457197,,
2026-07-06,6218,豪勉,IGNORE,0,,,,NEUTRAL,SAFE,,40.91,2.1557,38.8371,24.91,37.53,40.0508,35.6475,31.2442,0,0,UNCERTAIN,PREPARE,566.0,LIGHT,0.4763154009544618,,,,-7.0,5.331412103746391,0.025317343432218253,,
2026-07-06,6213,聯茂,IGNORE,0,,,,,HIGH_RISK,,26.78,27.8975,275.8297,96.1,93.53,411.2007,306.55,201.8993,0,0,UNCERTAIN,PREPARE,74895.0,HEAVY,1.7062809281832299,302.57,30.88,,,28.57142857142858,0.2917957918773446,,
2026-07-06,6104,創惟,IGNORE,0,,,,NEUTRAL,SAFE,,9.8,5.5857,102.5375,55.28,38.73,107.2322,101.825,96.4178,0,0,UNCERTAIN,PREPARE,15411.0,MEDIUM,1.0644703818937742,103.69,1.75,,-310.0,4.975124378109452,0.03609133316965374,,
2026-07-06,6214,精誠,IGNORE,0,,,,,SAFE,,16.3,5.027,134.3921,63.85,38.91,148.6826,136.85,125.0174,0,0,UNCERTAIN,PREPARE,33509.0,MEDIUM,0.77569893553319,134.83,1.24,,,-3.1914893617021267,-0.002557544757033181,,
2026-07-06,6215,和椿,IGNORE,0,6.0,0.0,,,NEUTRAL,,19.51,5.6914,119.8556,71.94,53.94,118.0184,108.25,98.4816,0,1,UNCERTAIN,PREPARE,5541.0,LIGHT,1.0455508721739237,110.66,4.37,,,5.47945205479452,0.06697459584295617,,
2026-07-06,6217,中探針,IGNORE,0,,,,NEUTRAL,SAFE,,9.15,21.3272,262.7917,53.46,45.35,285.2461,248.65,212.0539,0,0,UNCERTAIN,PREPARE,22108.0,MEDIUM,0.22828635159371513,279.63,-8.45,,173.0,9.63597430406853,0.02955962195857631,,
2026-07-06,6127,九豪,IGNORE,0,,,,NEUTRAL,SAFE,,67.17,8.5249,77.2578,52.04,70.59,94.6635,82.195,69.7265,0,0,UNCERTAIN,PREPARE,3980.0,LIGHT,0.35097748308643745,85.4,-1.64,,-715.0,4.218362282878418,0.02195997323438159,,
2026-07-06,6179,亞通,IGNORE,0,,,,DISTRIBUTION,HIGH_RISK,,23.43,1.398,25.4008,79.18,68.95,28.395,25.315,22.235,0,0,UNCERTAIN,PREPARE,13389.0,MEDIUM,2.3871428520474143,27.13,3.77,,404.0,9.746588693957126,0.11198893936401344,,
2026-07-06,6155,鈞寶,IGNORE,0,,,,,NEUTRAL,,40.57,7.4497,75.1251,19.29,28.81,97.8616,86.73,75.5984,0,0,UNCERTAIN,PREPARE,7230.0,LIGHT,0.16811322660227299,90.59,-8.71,,,-14.477766287487071,-0.04646604404473642,,
2026-07-06,6182,合晶,IGNORE,0,,,,DISTRIBUTION,HIGH_RISK,,35.04,11.9075,118.592,96.71,92.5,154.9479,109.15,63.3521,0,0,UNCERTAIN,PREPARE,136543.0,HEAVY,3.1803576433784135,135.0,15.56,,2507.0,36.8421052631579,0.429225836005497,,
2026-07-06,6177,達麗,IGNORE,0,,,,NEUTRAL,SAFE,,14.39,1.3064,45.8458,50.11,29.57,48.973,46.33,43.687,0,0,UNCERTAIN,PREPARE,30199.0,MEDIUM,0.3840279603308288,46.2,0.0,,-113.0,0.65359477124185,-0.002805957263112391,,
2026-07-06,6176,瑞儀,IGNORE,0,6.0,,,,SAFE,,20.77,3.1227,98.2318,59.57,38.33,93.6039,89.475,85.3461,0,0,UNCERTAIN,PREPARE,160028.0,HEAVY,0.9383136905177162,93.65,-1.76,,,1.9955654101995624,0.028220173232746726,,
2026-07-06,6166,凌華,IGNORE,0,,,,,NEUTRAL,,41.36,9.6431,113.366,13.58,23.79,160.2157,139.35,118.4843,0,0,UNCERTAIN,PREPARE,46544.0,MEDIUM,0.2906224056836143,108.24,20.56,,,-17.405063291139243,-0.06350914962325072,,
2026-07-06,6168,宏齊,WAIT,0,6.0,2.0,,,SAFE,,24.6,1.9456,29.0672,14.34,30.7,35.4981,29.0025,22.5069,8,4,UNCERTAIN,PREPARE,11418.0,MEDIUM,0.3673631078199251,31.59,-5.34,,,-3.8585209003215493,0.030945608137229685,,
2026-07-06,6163,華電網,IGNORE,0,,,,NEUTRAL,NEUTRAL,,26.86,2.3531,52.3563,15.1,10.5,55.3253,50.4925,45.6597,0,0,UNCERTAIN,PREPARE,7604.0,LIGHT,1.1263989485760595,52.31,-6.89,,-1563.0,-3.9447731755424043,-0.035500321829974646,,
2026-07-06,6173,信昌電,IGNORE,0,,,,NEUTRAL,HIGH_RISK,,20.38,22.9086,278.9773,63.08,64.2,356.9471,278.425,199.9029,0,0,UNCERTAIN,PREPARE,23501.0,MEDIUM,2.121479633098358,,,,1114.0,4.991680532445919,0.13315973781090062,,
2026-07-06,6174,安碁,IGNORE,0,,,,DISTRIBUTION,HIGH_RISK,,23.96,5.8608,51.8379,82.15,62.79,61.6117,51.285,40.9583,0,0,UNCERTAIN,PREPARE,2930.0,LIGHT,1.9111022228824337,,,,546.0,19.092627599243862,0.2284293653114946,,
2026-07-06,6175,立敦,IGNORE,0,,,,NEUTRAL,HIGH_RISK,,25.06,9.0799,102.1869,85.7,78.03,118.916,104.615,90.314,0,0,UNCERTAIN,PREPARE,32464.0,MEDIUM,0.7342662543824209,107.21,8.66,,37.0,8.372093023255811,0.11360703531998295,,
2026-07-06,6126,信音,IGNORE,0,,,,NEUTRAL,NEUTRAL,,38.5,2.1929,39.5035,22.81,17.6,44.2738,38.4,32.5262,0,0,UNCERTAIN,PREPARE,8330.0,LIGHT,0.19763427610483544,41.7,-12.84,,-258.0,-10.024752475247523,-0.05338541666666663,,
2026-07-06,6188,廣明,IGNORE,0,,,,NEUTRAL,SAFE,,18.98,2.9066,82.787,70.76,44.66,86.4513,79.29,72.1287,0,0,UNCERTAIN,PREPARE,35382.0,MEDIUM,1.2030999524471548,77.15,3.69,,-61.0,0.7556675062972307,0.008954470929499303,,
2026-07-06,6190,萬泰科,IGNORE,0,,,,NEUTRAL,NEUTRAL,,11.79,4.0932,83.6625,88.67,74.03,87.1109,81.005,74.8991,0,0,UNCERTAIN,PREPARE,21684.0,MEDIUM,1.0881676585899311,83.33,4.53,,-416.0,11.238825031928478,0.07524226899574105,,
2026-07-06,6191,精成科,IGNORE,0,,,,,NEUTRAL,,27.6,5.5827,102.7754,80.05,78.79,111.1735,100.835,90.4965,0,0,UNCERTAIN,PREPARE,22262.0,MEDIUM,0.7877800105071064,102.53,4.36,,,3.3816425120772875,0.061139485297763585,,
2026-07-06,6133,金橋,IGNORE,0,,,,,HIGH_RISK,,16.99,1.3099,24.2413,82.83,63.05,26.4302,23.55,20.6698,0,0,UNCERTAIN,PREPARE,2475.0,LIGHT,3.1533267180334557,26.52,3.71,,,17.77301927194861,0.16772823779193202,,
2026-07-06,6147,頎邦,IGNORE,0,,,,NEUTRAL,NEUTRAL,,13.58,21.9802,249.5521,11.21,12.63,277.0379,232.75,188.4621,0,0,UNCERTAIN,PREPARE,194854.0,HEAVY,1.110129786986264,217.78,-0.36,,6684.0,-5.446623093681913,-0.06766917293233088,,
2026-07-06,6141,柏承,IGNORE,0,,,,,SAFE,,23.77,2.4881,34.4907,33.52,50.55,41.873,36.435,30.997,0,0,FAKE_B,PREPARE,3380.0,LIGHT,0.25109983910753264,38.54,-2.69,,,5.3370786516853785,0.02923013585837797,,
2026-07-06,6139,亞翔,IGNORE,0,,,,,HIGH_RISK,,25.45,53.6106,758.115,85.83,82.53,995.1393,842.9,690.6607,0,0,FAKE_B,PREPARE,71288.0,HEAVY,0.6445835378852365,857.47,8.69,,,15.061728395061724,0.10570648950053396,,
